,year,transmission,selling_price,engine,max_power,torque
101,2010,1,200000,1248,295,192
102,2019,1,615000,1197,259,41
103,2016,1,270000,1196,235,5
104,2018,1,610000,1197,268,55
105,2014,0,625000,2179,45,287
106,2020,1,400000,1194,305,67
107,2017,1,866000,1591,49,127
108,2010,1,700000,1798,98,263
109,2010,1,300000,1172,213,430
110,2019,1,1700000,2179,92,331
111,2016,1,375000,1405,229,95
112,2013,1,522000,1582,60,274
113,2013,1,451999,1396,291,219
114,2009,1,300000,1798,71,150
115,2020,1,475000,998,219,424
116,2016,1,780000,1248,287,193
117,2017,1,595000,1197,270,55
118,2017,1,440000,998,219,424
120,2014,1,400000,1461,271,194
121,2016,1,1140000,1582,57,275
122,2017,1,850000,1498,315,199
123,2012,1,370000,1248,239,178
124,2018,1,350000,999,218,426
125,2015,1,360000,998,219,424
126,2008,1,105000,796,178,398
127,2013,1,625000,1248,291,193
128,2009,1,135000,1086,204,431
129,2015,1,700000,1248,291,193
130,2019,1,690000,1198,281,16
131,2018,0,3975000,1968,136,353
132,2019,0,5150000,2487,151,197
133,2017,0,3200000,1999,122,362
134,2017,0,4100000,3604,164,320
135,2019,0,4500000,1999,86,341
136,2017,0,6000000,2987,157,395
137,2018,0,3790000,1995,135,348
139,2019,0,5800000,1995,139,348
140,2018,0,1864999,1798,123,256
141,2016,0,2700000,2143,150,375
142,2019,0,1750000,1451,75,265
143,2017,0,795000,1497,41,115
144,2013,0,625000,1798,69,150
145,2018,0,3400000,1969,139,345
146,2015,0,2650000,2967,156,384
147,2015,1,535000,1248,287,193
148,2017,0,5850000,2987,165,373
149,2010,0,975000,2497,88,254
150,2016,1,805000,1797,80,156
151,2017,0,2625000,1999,122,362
152,2018,1,811000,1198,25,143
153,2011,1,375000,1598,14,129
154,2012,1,550000,1797,80,156
155,2016,0,645000,1598,12,129
156,2018,0,2550000,1991,130,290
157,2014,1,599000,1373,302,85
158,2017,0,2700000,1991,129,289
159,2017,0,875000,1497,36,118
160,2019,0,894999,1197,259,41
161,2011,1,175000,998,220,424
162,2012,1,340000,1197,259,41
163,2016,0,1525000,2755,116,328
164,2018,0,1025000,1497,25,278
165,2016,0,2150000,1995,139,348
166,2016,0,1900000,2494,94,209
167,2016,0,2900000,1995,139,348
168,2009,0,450000,2362,104,230
169,2016,1,850000,1373,296,85
170,2017,0,10000000,1969,176,399
171,2011,1,300000,1598,14,260
172,2018,1,575000,1196,283,34
173,2011,1,160000,1399,223,139
174,2015,1,515000,1197,259,41
175,2015,0,390000,998,218,424
176,2016,1,550000,1197,260,48
177,1999,1,40000,796,170,388
178,2010,1,220000,1248,239,43
179,2015,1,425000,1197,262,50
180,2019,1,480000,999,246,428
181,2014,1,400000,1197,262,50
182,2014,1,487000,1197,278,50
183,2016,1,386000,1197,262,50
184,2005,1,100000,1493,0,78
185,2010,1,300000,1364,284,201
186,2000,1,100000,796,184,403
187,2014,1,1750000,2982,109,318
188,2016,1,450000,1198,262,54
189,2017,1,490000,1248,242,174
190,2009,1,345000,1497,42,116
191,2005,1,85000,993,200,411
192,2010,1,215000,998,222,424
193,2010,1,320000,1599,8,102
194,2016,1,459999,1197,270,55
195,2005,1,65000,1341,267,53
196,2020,1,720000,1197,261,58
197,2017,1,800000,1248,287,193
198,2019,1,520000,1199,274,49
199,2015,1,580000,1248,291,193
201,2015,1,600000,1497,40,115
202,2014,1,290000,1198,283,16
203,2016,1,360000,998,196,408
204,2017,1,550000,1197,270,55
205,2013,1,375000,1197,265,37
207,2018,0,420000,998,218,424
208,2017,1,550000,1197,259,41
209,2018,1,270000,796,180,400
210,2018,0,700000,1197,259,41
211,2017,1,500000,1197,259,41
212,2019,1,1250000,2179,84,300
213,2013,1,320000,1197,265,37
214,2018,1,700000,1248,243,178
215,2015,1,290000,998,219,424
216,2012,0,550000,1794,71,150
217,2012,1,265000,1198,283,16
218,2018,0,830000,1197,268,55
219,2017,1,800000,2179,84,300
220,2011,1,160000,796,178,398
221,2018,1,335000,799,186,405
222,2017,1,329000,1198,218,10
223,2017,1,775000,1248,287,193
224,2020,1,524000,1197,261,36
225,2015,1,245000,796,180,400
226,2012,1,275000,1197,255,19
227,2018,1,520000,1193,289,105
229,2014,1,550000,1498,308,89
230,2018,1,910000,1497,51,124
231,2015,1,300000,1198,219,10
232,2016,1,350000,998,219,424
233,2013,1,900000,2696,101,315
234,2013,1,300000,1493,0,241
235,2010,1,250000,1248,239,178
236,2017,1,1100000,1582,57,275
237,2016,1,270000,799,186,405
238,2015,1,640000,1248,291,193
239,2015,1,650000,2179,74,311
240,2017,1,409999,1196,235,5
241,2011,1,165000,1086,204,431
242,2007,1,80000,1495,304,64
243,2012,1,535000,2179,74,311
244,2013,1,700000,2494,2,191
245,2013,1,550000,1248,242,178
246,2019,0,680000,1199,291,31
247,2009,1,200000,1197,253,33
248,2014,1,500000,1248,242,178
249,2016,1,1000000,1248,287,193
250,2008,1,110000,1341,266,22
251,2012,1,320000,1197,255,19
253,2015,1,350000,1197,269,41
254,2013,1,170000,1405,230,94
255,2017,1,800000,1396,290,221
256,2017,1,500000,1248,242,178
257,2017,0,1380000,2179,91,348
258,2019,1,1300000,1497,48,294
259,2013,1,530000,1582,59,275
260,2012,1,360000,1248,242,178
261,2012,1,310000,1248,239,178
262,2015,1,725000,1498,311,193
263,2012,1,340000,1248,239,178
264,2017,1,550000,1186,241,171
265,2011,1,1150000,2982,115,318
266,2016,1,380000,1047,228,106
267,2013,0,350000,1498,319,89
268,2019,1,610000,1197,261,58
269,2015,1,525000,1197,270,55
270,2011,1,480000,2494,5,187
271,2017,1,780000,2498,19,248
272,2012,1,320000,1248,239,178
273,2014,1,375000,1197,259,41
274,2019,1,300000,1198,220,10
275,2015,1,500000,1396,290,221
276,2011,1,404000,2179,45,287
277,2015,1,500000,2956,229,229
278,2017,1,350000,1047,228,106
279,2015,1,380000,1193,289,105
280,2008,1,114999,1495,304,64
281,2014,1,335000,1198,283,16
282,2015,0,465000,1197,262,50
283,2012,1,290000,1248,291,192
284,2005,1,110000,796,178,398
285,2011,1,450000,2179,71,302
286,2009,1,400000,2523,205,157
287,2007,1,210000,2523,205,157
288,2018,0,4600000,2143,112,346
289,2016,1,220000,796,167,388
290,2017,1,450000,1197,262,50
292,2013,0,290000,1197,253,33
293,2016,1,520000,1197,259,41
294,2011,0,265000,1197,253,33
295,2012,1,330000,1197,278,50
297,2014,1,509999,2523,204,182
298,2014,1,500000,1591,49,130
299,2015,1,525000,1197,261,46
300,2019,1,675000,1197,259,41
301,2010,1,300000,1197,255,19
302,2005,1,90000,796,178,398
303,2017,1,650000,1248,242,178
304,2014,1,409000,1197,278,50
305,2015,1,395000,1120,230,137
307,2014,1,400000,1197,278,50
308,2012,1,120000,1199,254,15
309,2018,0,645000,1199,274,49
310,2006,1,81000,796,170,388
311,2017,1,1300000,1498,309,193
312,2017,1,1250000,1498,309,193
313,2013,1,535000,1373,302,85
314,2014,1,555000,1461,25,249
315,2014,1,725000,1497,40,115
317,2016,1,229999,799,186,405
318,2013,1,800000,2494,3,188
319,2017,1,409999,998,219,424
320,2018,1,1210000,1396,289,221
321,2017,1,400000,1199,274,49
322,2018,1,520000,1186,241,170
323,2016,0,650000,1197,268,55
324,2011,1,325000,1298,286,21
325,2012,0,420000,1197,278,50
326,2014,1,400000,1197,259,41
327,2010,1,254999,1197,255,19
328,2003,1,65000,993,200,411
329,2017,1,351000,998,219,424
330,2007,1,404000,2494,5,187
331,2011,1,185000,1248,239,178
332,2011,1,250000,1461,206,139
333,2002,1,60000,993,200,411
334,2013,1,500000,1591,49,130
335,2007,1,85000,998,222,424
337,2005,1,85000,796,178,398
338,2011,1,265000,1248,239,178
339,2010,1,130000,998,216,424
340,2013,1,480000,1248,291,193
341,2008,1,170000,1248,246,178
342,2011,1,275000,1461,206,139
343,2005,1,89000,998,222,424
344,2010,1,170000,1399,223,139
345,2019,1,1090000,1197,28,195
346,2017,0,1100000,1582,57,275
347,2018,1,610000,1197,259,41
348,2016,1,335000,1198,218,10
349,2015,1,434999,1197,262,50
350,2018,1,3000000,2755,118,358
351,2018,1,390000,799,185,405
352,2012,1,325000,1198,283,16
353,2019,1,640000,1198,237,27
354,2012,1,450000,1498,308,89
355,2013,1,400000,1364,221,144
356,2009,1,215000,1197,253,33
357,2014,1,570000,1461,271,194
358,2012,1,680000,2179,74,311
359,2008,1,325000,2494,5,187
360,2011,1,150000,1193,209,4
361,2013,0,690000,1797,80,156
362,2013,0,1550000,2143,112,346
363,2012,1,64000,624,172,381
364,2013,1,250000,1461,206,139
365,2005,1,65000,998,222,424
366,2016,1,550000,1248,242,178
367,2010,1,140000,1197,253,32
368,2016,1,300000,799,186,405
369,2016,0,800000,1798,138,259
373,2015,1,503000,2179,84,300
374,2019,0,3800000,1969,139,345
375,2016,0,2000000,2494,94,209
376,2013,1,225000,998,220,424
377,2018,1,740000,1248,242,178
378,2016,1,550000,1199,289,31
379,2013,1,750000,2494,3,188
380,2019,0,650000,1197,259,41
381,2017,1,625000,1496,290,88
382,2018,0,600000,1197,259,41
383,2017,1,450000,1186,241,170
384,2019,0,5400000,1995,139,348
385,2019,0,5500000,1995,139,348
386,2019,0,779000,1199,291,31
388,2018,0,2475000,1984,88,322
389,2010,1,150000,1197,253,32
391,2009,0,500000,2354,97,216
392,2015,1,480000,1248,242,178
393,2014,1,535000,1582,60,274
394,2005,1,250000,2494,5,187
395,2012,1,300000,1248,292,193
396,2009,1,340000,1599,8,103
397,2009,1,340000,1493,28,250
398,2016,1,240000,796,180,400
399,2018,0,1085000,1497,41,115
400,2017,0,750000,1248,243,178
401,2012,1,95000,1405,230,79
402,2020,1,409999,1196,202,417
403,2014,1,215000,998,220,424
404,2016,0,1290000,2179,74,311
405,2010,1,150000,998,222,424
406,2013,1,219000,814,189,407
407,2018,1,325000,1199,274,49
408,2013,1,260000,1196,235,5
428,2019,0,700000,1498,253,138
429,2017,1,950000,1396,289,221
430,2010,1,160000,796,178,398
431,2015,1,409999,1120,232,159
432,2015,1,840000,2494,3,191
433,2013,1,450000,1364,222,144
434,2017,1,900000,1248,243,178
435,2008,1,570000,2494,5,187
436,2011,1,254999,1461,206,139
437,2009,1,130000,796,170,388
438,2013,1,530000,1248,242,178
439,2015,1,520000,1498,292,237
440,2011,1,229999,1461,210,139
441,2004,1,81000,796,170,388
442,2016,1,600000,1248,242,178
443,2015,1,409999,1197,261,35
444,2010,1,120000,796,170,388
445,2014,1,320000,998,219,424
446,2015,1,292000,1399,224,139
447,2012,1,390000,2179,69,302
448,2016,1,550000,1196,283,34
449,2014,1,385000,998,219,424
450,2016,1,800000,1591,49,127
451,2019,1,675000,1197,259,41
452,2018,1,1525000,2179,91,348
453,2018,1,950000,1498,315,199
454,2015,1,610000,1396,290,218
455,2012,1,525000,1396,290,221
457,2015,1,375000,2523,204,182
458,2015,1,580000,1461,271,194
459,2015,1,434999,1197,269,55
460,2020,1,350000,999,218,426
461,2012,1,730000,2494,0,191
462,2015,1,600000,1197,260,48
463,2015,1,1050000,2494,3,191
464,2017,1,735000,1248,242,178
465,2018,1,1050000,1461,23,245
466,2016,1,420000,1248,236,148
467,2017,1,800000,1248,287,193
468,2015,0,2000000,2982,109,330
469,2016,1,600000,1248,242,178
470,2015,0,1900000,2982,109,330
471,2011,1,500000,1991,83,307
472,2011,1,200000,1405,231,90
473,2016,1,370000,1198,219,10
474,2010,1,260000,1493,28,239
475,2016,1,280000,1198,250,173
476,2014,1,610000,1373,302,85
477,2013,1,300000,1498,295,198
478,2010,1,140000,1405,230,101
479,2008,1,229999,1086,224,436
480,2010,1,200000,998,216,424
481,2011,1,200000,998,222,424
482,2015,1,560000,1582,57,275
483,2016,1,750000,1248,287,193
484,2017,1,585000,1248,242,178
485,2016,1,760000,1591,52,130
486,2014,1,430000,1248,242,178
487,2020,1,480000,1198,250,173
488,2019,1,643000,1493,33,268
489,2018,1,500000,1197,261,36
490,2016,1,425000,1198,283,16
491,2014,1,250000,796,180,400
492,2016,1,285000,793,179,73
493,2008,1,160000,1298,278,50
494,2011,1,250000,1598,14,260
495,2013,1,170000,1199,254,15
496,2013,1,409999,1364,221,144
497,2015,0,400000,1197,262,50
498,2019,1,700000,1248,243,178
499,2007,0,350000,1799,62,149
500,2016,1,660000,1373,296,85
501,2017,1,268000,796,180,400
502,2016,1,270000,796,180,400
503,2013,1,300000,936,194,123
504,2017,1,450000,1199,274,49
505,2012,1,220000,936,194,123
506,2009,1,250000,2179,68,302
507,2012,1,300000,1196,230,7
508,2009,1,88000,1396,183,416
509,2016,1,561000,1248,242,178
510,2018,1,755000,1248,243,178
511,2017,1,235000,799,188,405
512,2011,1,165000,998,222,424
513,2008,1,190000,1248,239,178
514,2011,1,110000,1396,187,412
515,2012,1,320000,2523,205,160
517,2016,1,540000,1197,260,48
518,2013,1,180000,814,189,407
520,2012,1,450000,1197,278,50
521,2014,1,450000,1197,278,50
522,2015,1,200000,1199,248,12
523,2017,1,425000,1199,274,49
524,2016,1,400000,1199,263,14
525,2009,1,125000,796,178,398
526,2018,1,1600000,1956,112,324
527,2015,1,900000,1497,40,115
528,2012,1,450000,1598,14,260
529,2011,1,210000,998,222,424
530,2018,1,801000,1197,260,48
531,2014,1,317000,1405,230,95
532,2015,1,600000,1373,302,85
533,2014,1,330000,1197,265,37
534,2017,1,320000,814,189,407
536,2007,1,120000,1341,267,53
537,2009,1,130000,796,178,398
538,2015,1,220000,1199,263,14
540,2015,1,340000,1193,289,105
541,2013,1,200000,1399,218,139
542,2002,1,140000,796,178,398
543,2013,1,1000000,2494,3,188
544,2010,1,495000,2523,205,157
545,2015,1,236000,796,180,400
546,2015,1,390000,998,219,424
547,2009,1,275000,1248,239,178
549,2017,1,775000,1248,287,193
550,2016,0,1800000,2755,116,328
551,2016,1,850000,1582,57,275
552,2018,1,750000,1248,287,193
553,2018,1,570000,1197,260,48
554,2018,1,580000,1197,261,36
555,2016,1,484999,1199,289,31
556,2017,1,700000,1497,40,115
557,2012,1,415000,1497,34,111
558,2015,0,325000,1198,247,11
559,2018,1,550000,1196,283,34
560,2017,1,300000,814,189,407
561,2018,1,217000,799,188,405
562,2018,1,700000,1194,305,67
563,2019,0,466000,1086,223,440
564,2014,1,484999,1498,315,199
565,2018,1,670000,1461,276,196
566,2018,1,500000,1197,261,36
567,2016,1,675000,1248,287,193
568,2011,1,220000,1396,295,224
569,2017,1,1650000,1956,112,324
570,2013,1,630000,1248,292,193
571,2010,1,250000,1248,295,192
572,2004,1,120000,998,222,424
573,2015,1,300000,1498,13,260
574,2013,0,525000,1582,59,275
577,2016,1,1100000,1997,45,284
578,2012,1,480000,1461,23,249
579,2014,1,605000,2179,74,311
580,2016,1,250000,796,180,400
581,2013,1,245000,1399,226,139
582,2012,1,210000,1197,253,32
583,2020,1,730000,1197,259,41
584,2012,1,500000,2523,204,182
585,2015,1,400000,998,219,424
586,2015,1,280000,814,189,407
587,2009,1,561000,2494,5,187
588,2013,1,950000,2477,121,351
589,2016,1,375000,936,191,109
590,2017,1,700000,1498,27,261
591,2012,1,375000,1496,289,88
592,2012,1,270000,814,189,407
593,2016,1,300000,799,186,405
594,2010,1,225000,998,222,424
595,2015,1,1350000,2494,3,188
596,2010,1,200000,998,222,424
597,2011,1,400000,1582,60,274
598,2013,1,500000,1498,311,193
599,2015,1,500000,1197,259,41
600,2013,1,1500000,2755,118,358
601,2015,1,555000,1499,28,108
602,2018,0,580000,1197,261,36
603,2011,1,337000,2179,71,302
604,2011,1,175000,1948,223,51
605,2009,1,180000,1248,295,192
606,2011,1,200000,1086,224,436
607,2016,1,260000,1405,229,95
608,2016,1,350000,999,218,426
609,2011,1,409999,2523,205,157
610,2017,1,655000,1493,0,241
611,2015,1,370000,1248,242,178
612,2013,1,200000,796,180,400
613,2017,1,800000,1248,287,193
614,2019,1,550000,1199,272,49
615,2012,1,300000,1399,223,139
616,2017,1,220000,796,167,388
617,2011,1,196000,998,222,424
618,2008,1,135000,1086,224,436
619,2015,1,299000,1193,289,105
620,2017,1,300000,998,220,424
621,2017,1,720000,1248,287,193
622,2016,1,650000,2179,84,300
623,2016,1,300000,998,220,424
624,2019,1,750000,1186,241,170
625,2016,1,260000,799,186,405
626,2011,1,300000,1248,242,178
627,2014,1,600000,2523,204,182
628,2004,0,275000,2997,152,184
629,2015,1,250000,998,220,424
630,2014,1,420000,1248,242,178
631,2015,1,235000,814,189,407
632,2016,1,1100000,2179,45,284
633,2019,1,360000,998,220,424
634,2014,1,380000,1120,230,137
635,2016,1,650000,1498,310,199
636,2016,1,350000,998,219,424
637,2017,1,700000,2523,205,160
638,2010,1,270000,1396,295,224
639,2017,1,450000,1248,242,174
640,2016,1,630000,2498,19,248
641,2010,1,229999,2498,31,277
643,2011,1,270000,998,222,424
644,2009,1,135000,1172,213,421
645,2012,1,275000,998,222,424
665,2015,1,634000,1493,0,241
666,2012,1,235000,998,216,424
667,2008,1,275000,1197,253,33
668,2014,1,700000,2498,19,248
669,2013,1,400000,1248,300,202
670,2012,1,215000,796,178,398
671,2009,1,150000,1493,28,250
672,2018,1,950000,1248,287,193
673,2015,1,730000,1493,0,241
674,2012,1,135000,1405,231,91
675,2016,1,350000,1197,262,50
676,2018,1,535000,1198,262,54
677,2018,1,455000,1197,278,50
678,2019,1,655000,1197,259,41
679,2019,1,800000,1498,315,199
680,2018,0,1100000,1496,21,107
681,2016,0,3000000,2143,150,375
682,2012,0,1225000,2982,111,318
683,2018,1,340000,1198,262,54
684,2011,1,300000,1598,14,260
685,2016,1,370000,1196,283,34
686,2013,1,330000,2523,204,182
687,2014,1,238000,1086,204,431
689,2013,1,200000,1086,204,431
690,2014,1,320000,1461,276,196
691,2009,1,114999,1086,204,431
692,2015,1,320000,998,219,424
693,2010,1,210000,1086,224,436
694,2011,1,200000,2489,307,226
695,2009,1,135000,1061,218,415
696,2015,1,350000,1405,229,95
697,2014,1,350000,2523,205,160
698,2017,1,680000,1248,243,178
699,2010,1,200000,1248,246,178
700,2016,1,300000,999,218,426
701,2011,1,270000,2498,31,277
702,2012,1,225000,998,222,424
703,2008,1,250000,2523,205,157
704,2015,1,590000,1493,0,241
705,2015,1,290000,814,189,407
706,2010,1,100000,998,222,424
707,2016,1,395000,998,219,424
708,2014,1,195000,814,189,407
709,2011,1,45000,624,168,372
710,2009,1,270000,2523,205,157
711,2014,1,600000,2499,234,147
712,2015,1,715000,1396,290,221
713,2019,1,600000,1197,261,58
714,2019,1,875000,1493,0,241
715,2011,1,420000,2179,35,281
716,2007,0,325000,2354,89,213
717,2017,1,385000,1198,221,10
718,2016,1,300000,1198,262,54
719,2012,1,335000,1396,291,220
720,2014,1,300000,998,219,424
721,2004,1,80000,1495,304,64
722,2012,1,400000,2523,204,182
723,2012,1,168000,1396,228,95
724,2016,1,550000,2523,204,183
726,2011,1,320000,2523,205,157
727,2011,1,320000,2523,205,160
728,2011,1,350000,1498,308,89
729,2013,1,280000,1248,291,192
730,2017,1,550000,1120,231,159
731,2018,1,500000,1197,261,36
732,2019,1,700000,1194,305,67
733,2013,1,380000,1598,12,260
734,2012,1,340000,2523,205,160
735,2007,1,160000,2523,205,157
736,2014,1,750000,2494,3,191
737,2018,0,531000,1197,261,36
738,2017,1,300000,999,218,426
739,2014,1,350000,1498,292,237
740,2010,1,150000,1199,254,15
741,2015,1,450000,1197,259,41
742,2017,1,1625000,2179,74,311
745,2006,1,85000,1405,223,100
746,2018,1,450000,1197,261,36
748,2017,1,360000,1047,228,106
749,2020,1,390000,998,220,424
750,2011,1,145000,1196,235,5
751,2012,1,540000,2179,45,287
752,2008,1,290000,2494,5,187
753,2013,1,300000,1396,228,106
754,2017,1,565000,1196,283,34
755,2011,1,441000,2609,45,287
757,2011,1,180000,814,189,407
758,2013,1,200000,814,189,407
759,2005,1,85000,796,178,398
760,2006,1,67500,1396,183,416
761,2016,1,700000,1248,287,193
762,2010,1,275000,1199,239,161
763,2019,1,600000,1197,261,36
764,2011,1,250000,2489,307,226
765,2016,1,600000,2523,205,160
766,2010,1,200000,1248,297,202
767,2015,1,425000,1120,230,137
768,2012,1,420000,1248,239,178
769,2012,1,321000,1396,295,224
770,2012,1,350000,2498,31,277
771,2017,1,490000,1198,281,16
772,2015,1,680000,2523,246,190
773,2016,1,298000,998,220,424
775,2011,1,450000,2179,35,281
777,2012,1,250000,1248,242,174
778,2013,0,1075000,2953,93,334
779,2017,1,500000,1197,262,50
780,2019,1,681000,1194,305,67
781,2014,1,650000,2179,74,311
782,2008,1,80000,1150,244,29
783,2009,1,290000,2523,205,157
784,2006,1,220000,2179,45,287
785,2009,1,120000,1086,203,431
786,2017,1,229999,799,184,406
787,2003,1,150000,2523,205,157
788,2014,1,500000,1197,278,50
789,2013,1,175000,1396,228,95
790,2019,1,720000,1194,305,67
791,2012,1,100000,796,170,388
792,2009,0,250000,1799,62,149
793,2014,1,810000,2179,74,311
794,2010,1,165000,796,178,398
795,2016,1,409999,1994,20,280
796,2013,1,430000,1248,242,178
797,2015,1,300000,1198,218,10
798,2011,1,350000,1248,239,178
799,2018,1,400000,999,218,426
800,2016,1,420000,1248,236,148
801,2015,1,430000,998,219,424
802,2017,1,573000,1197,259,41
803,2015,1,210000,814,189,407
804,2015,1,600000,1461,23,249
805,2008,1,150000,1497,251,66
806,2019,1,550000,1199,274,49
807,2011,1,320000,1248,239,178
808,2000,1,80000,796,170,388
809,2019,1,800000,1498,312,193
810,2013,1,500000,1373,302,85
811,2011,1,229999,1248,295,192
813,2015,1,630000,1197,260,48
814,2016,1,190000,796,167,388
816,2011,1,450000,2523,205,157
817,2008,1,95000,796,178,398
818,2009,1,101000,796,168,390
819,2016,1,500000,1498,311,193
820,2014,1,1019999,2494,3,191
821,2012,1,244000,814,189,407
822,2013,1,250000,998,219,424
823,2016,1,660000,1197,268,55
824,2010,1,270000,1197,255,19
825,2012,1,280000,1248,240,178
826,2017,1,1050000,1582,57,275
827,2017,1,525000,1197,270,55
828,2017,1,850000,1582,57,275
829,2016,1,1165000,1997,74,301
830,2012,1,345000,1197,278,50
831,2007,1,95000,1086,205,421
832,2015,1,241000,796,180,400
833,2015,1,235000,796,180,400
834,2015,1,615000,1498,310,199
835,2014,1,350000,1461,210,139
836,2014,1,350000,998,219,424
837,2014,1,380000,998,219,424
838,2017,1,400000,2956,229,229
839,2010,1,220000,998,222,424
840,2008,1,270000,2179,45,251
841,2012,1,275000,1197,279,50
842,2009,1,125000,1405,231,95
843,2015,1,360000,1086,224,436
844,2019,1,550000,1197,261,36
845,2011,1,200000,1388,223,135
846,2016,1,327000,1198,262,54
847,2016,1,425000,1086,224,436
848,2017,1,620000,1248,243,178
849,2011,1,130000,1248,246,168
850,2009,1,120000,796,178,398
851,2011,1,400000,2179,45,287
852,2007,1,185000,1493,28,250
853,2015,1,204999,998,224,427
854,2017,1,625000,1248,243,178
855,2013,1,600000,1248,292,193
856,2011,1,150000,1396,277,77
858,2013,1,229999,1199,276,44
859,2018,1,220000,796,167,388
860,2016,1,576000,1197,260,48
861,2016,1,265000,799,186,405
863,2011,1,300000,1582,60,274
864,2017,1,420000,1047,228,106
865,2015,1,750000,1248,291,193
866,2012,1,165000,796,180,400
867,2017,1,290000,799,186,405
868,2011,1,160000,814,189,407
869,2017,1,695000,1248,242,178
870,2012,1,231000,998,197,408
871,2015,1,1050000,1364,284,201
872,2013,1,400000,1197,265,37
873,2016,1,500000,1197,260,48
874,2010,1,150000,1248,292,192
875,2016,1,400000,2179,43,285
876,2010,1,120000,1405,230,79
877,2014,1,480000,2179,43,285
878,2013,1,200000,1405,229,95
879,2012,1,300000,1399,218,139
880,2015,1,350000,998,219,424
881,2019,1,580000,999,233,434
882,2012,1,200000,936,194,123
883,2016,1,750000,2179,45,284
884,2016,1,261000,799,186,405
885,2015,1,371000,1199,263,14
886,2010,1,320000,2523,205,157
887,2012,1,204999,1396,228,95
888,2003,1,110000,1495,304,64
889,2009,1,150000,1399,223,140
890,2016,1,625000,2523,204,182
891,2017,1,1300000,1997,45,284
892,2015,1,900000,1968,75,305
893,2010,1,180000,1399,223,139
894,2010,1,421000,2523,205,157
896,2017,1,900000,1498,311,193
897,2006,1,165000,1497,251,66
898,2010,1,270000,1396,295,224
899,2017,1,750000,1248,287,193
900,2019,1,750000,1197,261,47
901,2002,1,40000,796,170,388
902,2011,1,190000,1399,223,139
903,2009,1,395000,2494,5,187
904,2010,1,800000,2982,115,318
